module,unit,knot_index,grad_norm
kan,0,0,0.0
kan,0,1,0.0
kan,0,2,0.0
kan,0,3,6.044558062967553e-07
kan,0,4,4.0567206724517746e-05
kan,0,5,0.0001447168242521002
kan,0,6,0.0012423440311977174
kan,0,7,0.0026066494174301624
kan,0,8,0.00650568725541234
kan,0,9,0.005308790714479983
kan,0,10,0.0068108148843748495
kan,0,11,0.00808472599601373
kan,0,12,0.011212632787646726
kan,0,13,0.007189551150077023
kan,0,14,0.01067395688733086
kan,0,15,0.006559126952197403
kan,0,16,0.0016165397878467047
kan,0,17,0.0007146736024878919
kan,0,18,0.0
kan,0,19,0.0
kan,0,20,0.0
kan,1,0,0.0
kan,1,1,0.0
kan,1,2,7.165048145907349e-07
kan,1,3,7.839860700187273e-06
kan,1,4,8.214295348807354e-05
kan,1,5,0.0003970776160713285
kan,1,6,0.002310815325472504
kan,1,7,0.0025535384338581935
kan,1,8,0.005534968746360391
kan,1,9,0.0054541849822271615
kan,1,10,0.008150463923811913
kan,1,11,0.011191697616595775
kan,1,12,0.009804710687603801
kan,1,13,0.00852787570329383
kan,1,14,0.004947439592797309
kan,1,15,0.0010844659641691123
kan,1,16,0.001701651664916426
kan,1,17,1.0805642887135036e-05
kan,1,18,0.0
kan,1,19,0.0
kan,1,20,0.0
kan,2,0,0.0
kan,2,1,0.0
kan,2,2,0.0
kan,2,3,0.0
kan,2,4,0.0
kan,2,5,5.723496201426315e-07
kan,2,6,3.374212610651739e-05
kan,2,7,0.0012575182336149737
kan,2,8,0.004301204884541221
kan,2,9,0.009191568329697475
kan,2,10,0.011790269170887768
kan,2,11,0.015205777628580108
kan,2,12,0.007615632959641516
kan,2,13,0.00607226969441399
kan,2,14,0.007239668339025229
kan,2,15,0.002912384195951745
kan,2,16,0.00046390327770495787
kan,2,17,0.0
kan,2,18,0.0
kan,2,19,0.0
kan,2,20,0.0
kan,3,0,0.0
kan,3,1,0.0
kan,3,2,0.0
kan,3,3,0.0
kan,3,4,0.0
kan,3,5,1.4416642386549938e-05
kan,3,6,0.0009365576052005053
kan,3,7,0.0038445267418865114
kan,3,8,0.00888338522054255
kan,3,9,0.011606923959334381
kan,3,10,0.018302585987839848
kan,3,11,0.010023612587247044
kan,3,12,0.003655153574072756
kan,3,13,0.0036894153454340994
kan,3,14,0.0020325389050412923
kan,3,15,0.0
kan,3,16,0.0
kan,3,17,0.0
kan,3,18,0.0
kan,3,19,0.0
kan,3,20,0.0
kan,4,0,0.0
kan,4,1,0.0
kan,4,2,0.0
kan,4,3,0.0
kan,4,4,7.484180457595357e-07
kan,4,5,3.187467484622175e-06
kan,4,6,0.00013073227000859333
kan,4,7,0.0008918318271753378
kan,4,8,0.004537506771157496
kan,4,9,0.006248212041100487
kan,4,10,0.012000531307421625
kan,4,11,0.006347604183247313
kan,4,12,0.010835253546247259
kan,4,13,0.011838385835289955
kan,4,14,0.00944323418661952
kan,4,15,0.008095310840872116
kan,4,16,0.0013853866221325006
kan,4,17,0.0
kan,4,18,0.0
kan,4,19,0.0
kan,4,20,0.0
kan,5,0,0.0
kan,5,1,0.0
kan,5,2,0.0
kan,5,3,1.488802183757798e-06
kan,5,4,1.9680300555435792e-05
kan,5,5,0.00015014346536190715
kan,5,6,0.0007775580379529856
kan,5,7,0.0027387678273953497
kan,5,8,0.009376418005558662
kan,5,9,0.013736834458541125
kan,5,10,0.017749427759554237
kan,5,11,0.012481064564781263
kan,5,12,0.0067067523777950555
kan,5,13,0.0025523870353936218
kan,5,14,0.0005239672645984683
kan,5,15,0.0
kan,5,16,0.0
kan,5,17,0.0
kan,5,18,0.0
kan,5,19,0.0
kan,5,20,0.0
kan,6,0,0.0
kan,6,1,0.0
kan,6,2,0.0
kan,6,3,2.4640922902108287e-07
kan,6,4,1.32087231463629e-05
kan,6,5,0.00013476284402713645
kan,6,6,0.0005595084985543508
kan,6,7,0.0015557641963823698
kan,6,8,0.004254360566847026
kan,6,9,0.006577193678822368
kan,6,10,0.010056344821350649
kan,6,11,0.011461741698440164
kan,6,12,0.015981748118065298
kan,6,13,0.006968472764128819
kan,6,14,0.007628120016306639
kan,6,15,0.008933502162108198
kan,6,16,0.002167087224734132
kan,6,17,0.0015210385317914188
kan,6,18,0.0004767349155372358
kan,6,19,0.00021045173343736678
kan,6,20,0.0
kan,7,0,0.0
kan,7,1,0.0
kan,7,2,0.0
kan,7,3,0.0
kan,7,4,0.0
kan,7,5,0.0
kan,7,6,6.383472623383568e-06
kan,7,7,0.00038438332558143884
kan,7,8,0.0030548812792403623
kan,7,9,0.008319415268488228
kan,7,10,0.011649129126453772
kan,7,11,0.018170707335229963
kan,7,12,0.004590634696796769
kan,7,13,0.0
kan,7,14,0.0
kan,7,15,0.0
kan,7,16,0.0
kan,7,17,0.0
kan,7,18,0.0
kan,7,19,0.0
kan,7,20,0.0
kan,8,0,2.884254115542717e-07
kan,8,1,2.60985406441705e-06
kan,8,2,1.3474387458245474e-05
kan,8,3,4.416238880367018e-05
kan,8,4,0.00012964321012987057
kan,8,5,0.00033108401476056315
kan,8,6,0.0007575176496175118
kan,8,7,0.0016254100264632143
kan,8,8,0.003632116364315152
kan,8,9,0.006202376680448651
kan,8,10,0.006386245251633227
kan,8,11,0.0033740643120836467
kan,8,12,0.01131803568569012
kan,8,13,0.007327457162318751
kan,8,14,0.016164835658855736
kan,8,15,0.010542819742113352
kan,8,16,0.004492187697906047
kan,8,17,0.0021536814601859078
kan,8,18,0.0017156323228846304
kan,8,19,8.88316790224053e-05
kan,8,20,0.0
kan,9,0,0.0
kan,9,1,0.0
kan,9,2,1.729978350795136e-06
kan,9,3,1.0483402470562453e-05
kan,9,4,6.630598227275186e-05
kan,9,5,0.0002670203875823063
kan,9,6,0.0006257187524170149
kan,9,7,0.0017212563689099625
kan,9,8,0.0035895490436814725
kan,9,9,0.007612784014781937
kan,9,10,0.006880061613628641
kan,9,11,0.01213875028770417
kan,9,12,0.00970977992983535
kan,9,13,0.00965566246304661
kan,9,14,0.007000978686846793
kan,9,15,0.007890319953730796
kan,9,16,0.0014501721343549434
kan,9,17,0.0011465370189398527
kan,9,18,0.0008000617963261902
kan,9,19,0.0006551228580065072
kan,9,20,0.0
